Vendor,Country,Shipment Mode,Product Group,Freight Cost (USD),cost_per_kg,Line Item Value,is_delayed,delay_risk_prob,predicted_delay,risk_category
RANBAXY Fine Chemicals LTD.,C̫te d'Ivoire,Air,HRDT,780.34,60.026153846153846,551.0,False,0.0016206546448025673,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,4521.5,12.629888268156424,6200.0,False,0.0042728512478273735,0,Low
Abbott GmbH & Co. KG,C̫te d'Ivoire,Air,HRDT,1653.78,9.671228070175438,40000.0,False,0.001852668232460341,0,Low
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,Air,ARV,16007.06,8.629142857142856,127360.8,False,0.006518625277785647,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,45450.08,5.988152832674572,121600.0,False,0.0031678975285303044,0,Low
Aurobindo Pharma Limited,Nigeria,Air,ARV,5920.42,11.74686507936508,2225.6,False,0.0020011604034292627,0,Low
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Zambia,Air,ARV,0.0,0.0,4374.0,False,0.0015572280565099466,0,Low
Aurobindo Pharma Limited,Tanzania,Air,ARV,6212.41,4.203254397834912,60834.55,False,0.006392897063717338,0,Low
Aurobindo Pharma Limited,Nigeria,Air,ARV,0.0,0.0,532.35,False,0.0016535781150243713,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Air,ARV,0.0,0.0,115080.0,False,0.0028170525214462356,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Air,ARV,0.0,0.0,115080.0,False,0.002811208182912837,0,Low
"Trinity Biotech, Plc",Zambia,Air,HRDT,13569.49,15.907960140679952,100000.0,False,0.00044404530992951403,0,Low
EY Laboratories,Nigeria,Air,HRDT,0.0,0.0,850.0,False,0.003964229636657422,0,Low
CIPLA LIMITED,Rwanda,Air,ARV,64179.42,8.65418284789644,99800.0,False,0.00531422721724318,0,Low
Abbott GmbH & Co. KG,Haiti,Air,HRDT,1760.32,6.87625,60000.0,False,0.0008772398944428118,0,Low
BRISTOL-MYERS SQUIBB,Zimbabwe,Air,ARV,0.0,0.0,14764.5,False,0.00203018022745239,0,Low
ACCOUN NIGERIA LIMITED,Nigeria,Unknown,HRDT,0.0,0.0,120000.0,False,0.0028596997291471006,0,Low
Premier Medical Corporation Ltd.,Rwanda,Air,HRDT,3120.7,4.395352112676056,33000.0,False,0.0016297574029345177,0,Low
BRISTOL-MYERS SQUIBB,Tanzania,Air,ARV,912.96,5.635555555555555,8964.08,False,0.000407511659240423,0,Low
Abbott GmbH & Co. KG,Nigeria,Air,HRDT,2682.47,7.866480938416422,80000.0,False,0.004996105038973462,0,Low
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,Air,HRDT,15893.71,6.977045654082528,202500.0,False,0.004755498666643598,0,Low
BRISTOL-MYERS SQUIBB,C̫te d'Ivoire,Air,ARV,0.0,0.0,140581.5,False,0.0017752569074175474,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,4193.49,4.456418703506907,1920.0,False,0.004362446009726809,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Air,ARV,1767.38,15.105811965811967,41095.0,False,0.0025634400971713545,0,Low
"Orgenics, Ltd",Haiti,Air,HRDT,3518.38,20.5753216374269,53992.5,True,0.16590924730879553,1,Elevated
Orasure Technologies Inc.,Haiti,Air,HRDT,3097.85,51.630833333333335,8750.0,False,0.000601252030630019,0,Low
"Standard Diagnostics, Inc.",Tanzania,Air,HRDT,27869.74,8.356743628185907,200000.0,False,0.0012394488219604155,0,Low
"Standard Diagnostics, Inc.",Tanzania,Air,HRDT,28461.1,8.534062968515741,200000.0,False,0.0012433776556918534,0,Low
"Standard Diagnostics, Inc.",Tanzania,Air,HRDT,28359.8,8.503688155922038,200000.0,False,0.0012427167051232864,0,Low
Aurobindo Pharma Limited,Ethiopia,Air,ARV,12237.61,2.894420529801325,99200.0,False,0.007079354503136788,0,Low
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,Air,HRDT,20885.78,6.4007906834201655,270000.0,False,0.004417891824529294,0,Low
"JSI R&T INSTITUTE, INC.",South Africa,Unknown,ARV,0.0,0.0,317.6,False,0.0047644970894285665,0,Low
"GILEAD SCIENCES IRELAND, INC.",Vietnam,Air,ARV,2282.57,30.033815789473685,17000.0,False,0.0018142366307668226,0,Low
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,Air,ARV,2149.05,93.43695652173913,3352.0,False,0.005525632980525693,0,Low
"Orgenics, Ltd",Rwanda,Air,HRDT,0.75,0.007575757575757576,15.0,False,0.003874630448235713,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,0.0,0.0,6.5,False,0.002684925826662892,0,Low
"JSI R&T INSTITUTE, INC.",South Africa,Unknown,ARV,0.0,0.0,340.0,False,0.005555271948795198,0,Low
"Trinity Biotech, Plc",Haiti,Air,HRDT,0.0,0.0,278.0,False,0.00032646402147695124,0,Low
BIO-RAD LABORATORIES (FRANCE),C̫te d'Ivoire,Air,HRDT,5446.51,10.700412573673871,36176.0,False,0.20155313795326876,1,High
"Standard Diagnostics, Inc.",C̫te d'Ivoire,Air,HRDT,2656.12,12.89378640776699,13180.0,False,0.0031847560530277983,0,Low
"Orgenics, Ltd",Guyana,Air,HRDT,0.0,0.0,2.4,False,0.01705037454403276,0,Low
"Orgenics, Ltd",Guyana,Air,HRDT,360.0,25.714285714285715,2.13,False,0.022098512411751207,0,Low
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Ethiopia,Unknown,HRDT,0.0,0.0,13399.25,False,0.0020320438340461332,0,Low
"Orgenics, Ltd",Zimbabwe,Air,HRDT,4112.46,11.025361930294906,117631.66,False,0.01816400084893242,0,Low
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,Air,HRDT,5468.88,11.322732919254658,38475.0,False,0.0009371542899922399,0,Low
"Orgenics, Ltd",Namibia,Air,HRDT,1715.17,51.974848484848486,10222.58,False,0.00701641845191638,0,Low
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,ARV,4051.34,6.194709480122325,96432.0,False,0.001279184434404553,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,405.06,False,0.004772835547370764,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,870.0,False,0.006454454847578753,0,Low
BRISTOL-MYERS SQUIBB,Vietnam,Air,ARV,2211.05,27.296913580246915,2800.0,False,0.000540183730500014,0,Low
S. BUYS WHOLESALER,South Africa,Unknown,ARV,0.0,0.0,77.1,False,0.003181851665465398,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,16090.22,12.861886490807354,439785.02,False,0.0330782306051905,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,0.0,0.0,54.98,False,0.012540127260318584,0,Low
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Ethiopia,Air,HRDT,0.0,0.0,691.42,False,0.006019783057252808,0,Low
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,ARV,13507.92,8.788497072218608,18359.04,False,0.0024132012841785607,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,103.4,False,0.01120610334647461,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,1906.0,False,0.005080875245996765,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,1025.1,False,0.006866637531541687,0,Low
BRISTOL-MYERS SQUIBB,Tanzania,Air,ARV,645.1,5.513675213675214,61470.99,False,0.0004637454509878597,0,Low
Orasure Technologies Inc.,Haiti,Air,HRDT,782.13,7.175504587155963,9800.0,False,0.0005460118976021613,0,Low
"Trinity Biotech, Plc",Haiti,Air,HRDT,871.57,16.140185185185185,11676.0,False,0.00029065938076289633,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,1049.4,False,0.009144573970031,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,18614.72,6.8461640308937115,92736.0,False,0.0031930096697047254,0,Low
IDA FOUNDATION,Nigeria,Air,ACT,1755.87,15.268434782608695,1547.68,False,0.00024528096343797345,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,10179.16,3.9150615384615386,60900.0,False,0.0027116830861107664,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,696.5,False,0.01649718558480356,0,Low
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,ARV,4686.88,3.829150326797386,171192.0,False,0.0014042705953626739,0,Low
ZEPHYR BIOMEDICALS,Guyana,Air,MRDT,180.0,5.294117647058823,3675.0,False,0.004511099577156372,0,Low
"Orgenics, Ltd",Zambia,Air,HRDT,11062.05,10.505270655270655,323955.0,False,0.00667186709355437,0,Low
"Trinity Biotech, Plc",Namibia,Air,HRDT,0.0,0.0,320.0,False,0.00036134140559390524,0,Low
BIO-RAD LABORATORIES (FRANCE),C̫te d'Ivoire,Air,HRDT,11298.13,20.103434163701067,38000.0,False,0.18074722931010798,1,Elevated
IDA FOUNDATION,C̫te d'Ivoire,Air,ACT,12830.91,7.512242388758782,9750.0,False,0.0008713808912023866,0,Low
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Nigeria,Air,ARV,0.0,0.0,453.6,True,0.1010894586741653,1,Elevated
"Orgenics, Ltd",Namibia,Air,HRDT,2698.04,58.65304347826087,10798.5,False,0.006418828419321831,0,Low
"Trinity Biotech, Plc",Botswana,Air,HRDT,578.01,578.01,450.0,False,0.0007730025438016337,0,Low
"Standard Diagnostics, Inc.",Zambia,Air,HRDT,1122.24,11.2224,6380.0,False,0.001072097380614311,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,1830.4,False,0.02312911225625655,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,2745.6,False,0.023122282246540258,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,858.0,False,0.006886180393149645,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,91.35,False,0.0031746874758876546,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,1375.6,False,0.012472041189741344,0,Low
ZEPHYR BIOMEDICALS,Guyana,Air,MRDT,0.0,0.0,4050.0,False,0.0050682900644910866,0,Low
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Tanzania,Air,ARV,9339.0,2.281700464207183,2520000.0,False,0.002337573972460544,0,Low
IDA FOUNDATION,C̫te d'Ivoire,Air,ANTM,25405.22,4.877177961220964,2731.4,False,0.0006619407694106378,0,Low
"Trinity Biotech, Plc",Mozambique,Air,HRDT,23914.8,12.547114375655823,182400.0,False,0.00043150952810568804,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,12835.2,3.657794243374181,51350.04,False,0.0059096215978239695,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,0.0,0.0,50400.0,False,0.0018244538006069843,0,Low
CIPLA LIMITED,Vietnam,Air,ARV,4225.93,4.573517316017316,72864.0,False,0.0016686952235818791,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,892.5,4.229857819905213,20250.72,False,0.0067046023771890435,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tanzania,Air,ARV,6668.61,10.354984472049688,21536.4,False,0.0019864974865163327,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tanzania,Air,ARV,0.0,0.0,21526.32,False,0.0014958986735027257,0,Low
Premier Medical Corporation Ltd.,Rwanda,Air,HRDT,12595.81,4.4985035714285715,185602.5,False,0.0014917911229516067,0,Low
BRISTOL-MYERS SQUIBB,Nigeria,Air,ARV,463.0,42.09090909090909,4734.0,False,0.0005153686747450699,0,Low
BRISTOL-MYERS SQUIBB,Haiti,Air,ARV,260.0,6.046511627906977,760.0,False,0.00032795296165154584,0,Low
BRISTOL-MYERS SQUIBB,Haiti,Air,ARV,0.0,0.0,402.88,False,0.00014261935034916336,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Haiti,Air,ARV,893.22,89.322,472.88,False,0.00084541554869298,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,47522.75,False,0.024745838647304813,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,49840.0,False,0.022858883219173513,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,3588.48,False,0.007642709056505204,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,1152.0,False,0.012520243255611886,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,10512.0,False,0.014139345547787766,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,3384.0,False,0.018577689732420508,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,1954.9,False,0.019255022393899625,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,16642.0,False,0.022034475386741116,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,1932.3,False,0.021770167228467162,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,10665.0,False,0.010549134532529687,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,134385.3,False,0.032029301176884836,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,80640.0,False,0.011539855239042045,0,Low
S. BUYS WHOLESALER,South Africa,Air,ARV,0.0,0.0,35016.0,False,0.015620802129208109,0,Low
Orasure Technologies Inc.,Botswana,Air,HRDT,1172.11,24.418958333333332,7000.0,False,0.0029609450127512727,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),C̫te d'Ivoire,Air,ARV,14806.48,5.8686008719778044,420864.0,False,0.004331865470683663,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),C̫te d'Ivoire,Air,ARV,7642.97,43.67411428571429,15344.0,False,0.0002913804807978245,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,1080.0,False,0.017953839863564882,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,2816.0,False,0.009612648989982398,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,3134.85,2.9941260744985674,19770.0,False,0.016678673250011333,0,Low
Orasure Technologies Inc.,Haiti,Air,HRDT,3128.19,21.723541666666666,21000.0,False,0.0005931081579069845,0,Low
"Orgenics, Ltd",Kenya,Air,HRDT,16835.31,7.600591422121897,600000.0,False,0.03732108485678119,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,24514.33,12.801216710182768,511600.0,False,0.008536973435807673,0,Low
HETERO LABS LIMITED,Rwanda,Air,ARV,37404.74,8.345546630968316,386384.88,False,0.001379360818598895,0,Low
BIO-RAD LABORATORIES (FRANCE),C̫te d'Ivoire,Air,HRDT,8074.03,7.333360581289736,110000.0,False,0.21117789416626262,1,High
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Air,ARV,3366.04,70.12583333333333,613.76,False,0.0001579421478342382,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,6341.88,3.5154545454545456,39025.0,False,0.00665045520876879,0,Low
Orasure Technologies Inc.,Botswana,Air,HRDT,684.42,57.035,1750.0,True,0.1113414156274338,1,Elevated
"Orgenics, Ltd",Namibia,Air,HRDT,401.97,8.374375,5025.0,False,0.004225023102836082,0,Low
BRISTOL-MYERS SQUIBB,Vietnam,Air,ARV,14.36,0.09702702702702702,2800.0,False,0.0004957670936691086,0,Low
"Trinity Biotech, Plc",Namibia,Air,HRDT,1736.18,21.976962025316457,7040.0,False,0.0003702101503816397,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,490.0,False,0.003424894947440936,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,41300.0,False,0.01853847277068072,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,2838.2,False,0.012156383895642952,0,Low
BIO-RAD LABORATORIES (FRANCE),C̫te d'Ivoire,Air,HRDT,1816.57,11.009515151515151,11076.45,False,0.18737733671473722,1,Elevated
Orasure Technologies Inc.,C̫te d'Ivoire,Air,HRDT,1039.5,69.3,2400.0,False,0.0010641934992557246,0,Low
BRISTOL-MYERS SQUIBB,Vietnam,Air,ARV,3292.15,5.931801801801802,19600.0,False,0.0005357823273085607,0,Low
Orasure Technologies Inc.,Haiti,Air,HRDT,1195.29,33.2025,6000.0,False,0.0004814851663390976,0,Low
INTERNATIONAL HEALTHCARE DISTRIBUTORS,Zimbabwe,Air,ARV,0.0,0.0,11096.8,False,0.0016688236513757928,0,Low
